DAEV454server
format: symbol, price, volume, pos, trans_type, time
IF1611, 3325.2, 1, -1, short,2016-10-2709:46:00.414000
IF1611, 3321.0, 1, 0, cover,2016-10-2709:48:09.824000
IF1611, 3323.4, 1, 1, buy,2016-10-2710:09:58.944000
IF1611, 3318.8, 1, 0, sell,2016-10-2710:15:08.295000
IF1611, 3321.8, 1, 1, buy,2016-10-2710:24:58.875000
IF1611, 3316.4, 1, 0, sell,2016-10-2710:35:01.868000
IF1611, 3322.6, 1, 1, buy,2016-10-2710:37:58.951000
IF1611, 3317.4, 1, 0, sell,2016-10-2710:43:57.567000
IF1611, 3317.4, 1, -1, short,2016-10-2710:43:58.997000
IF1611, 3313.2, 1, 0, cover,2016-10-2710:49:43.333000
IF1611, 3317.8, 1, 1, buy,2016-10-2710:53:59.932000
IF1611, 3319.6, 1, 0, sell,2016-10-2711:10:00.351000
IF1611, 3318.2, 1, -1, short,2016-10-2711:16:58.997000
IF1611, 3315.8, 1, 0, cover,2016-10-2711:24:23.897000
----------------------------------------------------
XGBoost
format: symbol, price, volume, pos, trans_type, time
IF1611, 3331.8, 1, 1, buy,2016-10-2709:30:58.869000
IF1611, 3328.0, 1, 0, sell,2016-10-2709:31:27.840000
IF1611, 3323.0, 1, -1, short,2016-10-2709:50:59.384000
IF1611, 3326.0, 1, 0, cover,2016-10-2709:57:01.855000
IF1611, 3319.0, 1, -1, short,2016-10-2710:16:58.804000
IF1611, 3322.0, 1, 0, cover,2016-10-2710:24:32.762000
IF1611, 3316.4, 1, -1, short,2016-10-2710:47:59.385000
IF1611, 3316.6, 1, 0, cover,2016-10-2710:51:26.925000
IF1611, 3320.2, 1, 1, buy,2016-10-2711:11:02.430000
IF1611, 3318.0, 1, 0, sell,2016-10-2711:15:06.431000
----------------------------------------------------
BBI
format: symbol, price, volume, pos, trans_type, time
IF1611, 3330.8, 1, -1, short,2016-10-2709:30:58.870000
IF1611, 3328.4, 1, 0, cover,2016-10-2709:40:01.829000
IF1611, 3327.4, 1, 1, buy,2016-10-2709:40:58.825000
IF1611, 3327.2, 1, 0, sell,2016-10-2709:42:58.824000
IF1611, 3322.0, 1, 1, buy,2016-10-2709:46:58.853000
IF1611, 3322.6, 1, 0, sell,2016-10-2709:48:58.862000
IF1611, 3317.8, 1, 1, buy,2016-10-2710:15:58.997000
IF1611, 3319.0, 1, 0, sell,2016-10-2710:16:58.804000
IF1611, 3317.4, 1, 1, buy,2016-10-2710:34:58.873000
IF1611, 3317.6, 1, 0, sell,2016-10-2710:35:59.898000
IF1611, 3321.6, 1, -1, short,2016-10-2710:37:58.876000
IF1611, 3318.2, 1, 0, cover,2016-10-2710:39:58.882000
IF1611, 3314.0, 1, 1, buy,2016-10-2710:49:59.366000
IF1611, 3315.0, 1, 0, sell,2016-10-2710:50:59.374000
IF1611, 3316.8, 1, 1, buy,2016-10-2711:18:58.924000
IF1611, 3316.0, 1, 0, sell,2016-10-2711:21:58.919000
----------------------------------------------------
